10000_1_Step_Total	10000_1_Step_Update
2.68268	2.63951
2.68263	2.63948
2.68298	2.63993

10000_4_Step_Total	10000_4_Step_Update
0.72109	0.67881
0.72113	0.67885
0.72083	0.67855

10000_8_Step_Total	10000_8_Step_Update
0.39072	0.35402
0.39090	0.35390
0.39106	0.35404

10000_16_Step_Total	10000_16_Step_Update
0.22758	0.19328
0.22806	0.19349
0.22764	0.19318

10000_32_Step_Total	10000_32_Step_Update
0.13691	0.10396
0.13568	0.10279
0.13679	0.10374

10000_64_Step_Total	10000_64_Step_Update
0.09649	0.06386
0.09709	0.06447
0.09728	0.06474

10000_100_Step_Total	10000_100_Step_Update
0.08465	0.05214
0.08361	0.05130
0.08445	0.05212

10000_140_Step_Total	10000_140_Step_Update
0.07252	0.04021
0.07235	0.04010

10000_160_Step_Total	10000_160_Step_Update
0.07011	0.03804
0.07011	0.03844
0.07011	0.03804

10000_200_Step_Total	10000_200_Step_Update
0.06784	0.03568
0.06781	0.03562
0.06754	0.03543

1000_1_Step_Total	1000_1_Step_Update
0.02682	0.02617

1000_4_Step_Total	1000_4_Step_Update
0.00726	0.00684

1000_8_Step_Total	1000_8_Step_Update
0.00401	0.00364

1000_16_Step_Total	1000_16_Step_Update
0.00237	0.00203

1000_32_Step_Total	1000_32_Step_Update
0.00153	0.00120

1000_64_Step_Total	1000_64_Step_Update
0.00141	0.00085

1000_100_Step_Total	1000_100_Step_Update
0.00131	0.00078

1000_140_Step_Total	1000_140_Step_Update
0.00124	0.00073

1000_160_Step_Total	1000_160_Step_Update
0.00124	0.00073

1000_200_Step_Total	1000_200_Step_Update
0.00135	0.00082

5000_1_Step_Total	5000_1_Step_Update
0.67193	0.66124

5000_4_Step_Total	5000_4_Step_Update
0.18033	0.16992

5000_8_Step_Total	5000_8_Step_Update
0.09661	0.08736

5000_16_Step_Total	5000_16_Step_Update
0.05538	0.04694

5000_32_Step_Total	5000_32_Step_Update
0.03498	0.02661

5000_64_Step_Total	5000_64_Step_Update
0.02455	0.01618

5000_100_Step_Total	5000_100_Step_Update
0.02124	0.01289

5000_140_Step_Total	5000_140_Step_Update
0.01913	0.01080

5000_160_Step_Total	5000_160_Step_Update
0.01877	0.01044

5000_200_Step_Total	5000_200_Step_Update
0.01828	0.01004

